doc_id;date;year;sentiment1;economic1;human1;responsibility1;conflict1;economic2;human2;responsibility2;conflict2;e_revised;h_revised;r_revised;c_revised
nyasatimes_22.txt;18/03/2019;2019;-1;1;1;1;1;1;1;0;0;1;1;1;1
nyasatimes_23.txt;21/03/2019;2019;0;0;1;1;0;0;0;1;0;0;1;1;0
nyasatimes_25.txt;13/02/2019;2019;0;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_27.txt;27/03/2019;2019;1;1;1;0;0;1;0;0;0;1;1;0;0
nyasatimes_29.txt;27/03/2019;2019;0;1;1;0;0;0;1;0;0;1;1;0;0
nyasatimes_3.txt;21/03/2019;2019;1;1;1;0;0;1;0;0;0;1;1;0;0
nyasatimes_31.txt;23/04/2019;2019;-1;1;1;1;1;1;0;1;1;1;1;1;1
nyasatimes_33.txt;25/03/2019;2019;0;1;1;1;0;1;1;0;0;1;1;0;0
nyasatimes_34.txt;13/03/2019;2019;-1;0;1;1;0;0;0;0;0;0;0;0;0
nyasatimes_35.txt;04/04/2019;2019;1;1;1;1;0;0;1;1;0;0;1;1;0
nyasatimes_36.txt;07/02/2019;2019;-1;1;1;1;1;0;1;1;1;0;1;1;1
nyasatimes_37.txt;12/01/2019;2019;-1;1;1;1;1;0;1;1;0;0;1;1;1
nyasatimes_38.txt;09/03/2019;2019;0;1;1;0;0;0;1;0;0;0;1;0;0
nyasatimes_39.txt;29/03/2019;2019;1;1;1;1;0;1;0;0;0;1;0;0;0
nyasatimes_4.txt;08/04/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_40.txt;18/01/2019;2019;1;1;1;1;0;1;0;0;0;1;0;0;0
nyasatimes_41.txt;05/04/2019;2019;1;1;1;1;0;0;0;0;0;0;0;0;0
nyasatimes_43.txt;21/03/2019;2019;-1;1;1;1;1;1;1;1;0;1;1;1;0
nyasatimes_45.txt;14/03/2019;2019;1;1;1;1;0;0;1;0;0;1;1;0;0
nyasatimes_46.txt;16/04/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_47.txt;25/03/2019;2019;1;1;1;1;0;0;1;0;0;0;1;0;0
nyasatimes_48.txt;14/01/2019;2019;0;0;1;0;0;0;1;0;0;0;1;0;0
nyasatimes_5.txt;12/04/2019;2019;1;1;1;1;0;1;0;0;0;1;0;0;0
nyasatimes_51.txt;27/04/2019;2019;0;1;1;1;0;0;0;1;0;1;0;1;0
nyasatimes_53.txt;23/04/2019;2019;0;0;1;0;0;0;1;0;0;0;1;0;0
nyasatimes_54.txt;09/04/2019;2019;0;1;0;1;0;1;0;0;0;1;0;0;0
nyasatimes_56.txt;18/03/2019;2019;1;1;1;1;0;1;1;0;0;1;1;0;0
nyasatimes_58.txt;17/03/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_59.txt;20/03/2019;2019;1;1;1;1;0;0;1;0;0;1;1;0;0
nyasatimes_6.txt;17/04/2019;2019;1;1;1;1;0;0;1;1;0;0;1;1;0
nyasatimes_60.txt;26/01/2019;2019;-1;1;1;1;1;0;1;0;0;0;1;0;1
nyasatimes_61.txt;05/04/2019;2019;1;0;1;0;0;0;1;0;0;0;1;0;0
nyasatimes_62.txt;13/02/2019;2019;1;1;1;1;0;0;1;0;0;1;1;0;0
nyasatimes_64.txt;10/03/2019;2019;1;1;1;1;0;0;0;0;0;1;1;0;0
nyasatimes_65.txt;23/03/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_66.txt;25/03/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_68.txt;17/03/2019;2019;1;1;1;0;0;1;0;0;0;1;1;0;0
nyasatimes_69.txt;19/02/2019;2019;0;0;1;0;0;0;0;0;0;0;0;0;0
nyasatimes_7.txt;18/01/2019;2019;-1;0;1;1;1;0;1;1;0;0;1;1;1
nyasatimes_70.txt;17/03/2019;2019;1;1;1;1;1;0;1;0;1;1;1;0;1
nyasatimes_71.txt;16/03/2019;2019;1;1;1;0;0;1;0;0;0;1;1;0;0
nyasatimes_72.txt;11/01/2019;2019;-1;1;1;1;1;0;1;1;0;1;1;1;1
nyasatimes_73.txt;12/03/2019;2019;0;1;1;1;0;0;1;1;0;0;1;1;0
nyasatimes_75.txt;16/01/2019;2019;0;0;1;0;0;0;0;0;0;0;0;0;0
nyasatimes_79.txt;25/03/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_8.txt;13/03/2019;2019;0;0;1;0;0;0;1;0;0;0;1;0;0
nyasatimes_82.txt;27/03/2019;2019;1;1;1;0;0;1;1;0;0;1;1;0;0
nyasatimes_84.txt;14/03/2019;2019;1;1;1;1;0;1;1;1;0;1;1;1;0
nyasatimes_85.txt;25/03/2019;2019;1;1;1;1;0;1;1;1;0;1;1;1;0
nyasatimes_86.txt;23/03/2019;2019;-1;1;1;1;1;1;1;1;1;1;1;1;1
nyasatimes_88.txt;29/03/2019;2019;1;1;1;1;0;1;1;1;0;1;1;1;0
nyasatimes_9.txt;19/03/2019;2019;1;1;1;1;0;1;1;1;0;1;1;1;0
nyasatimes_90.txt;28/01/2019;2019;0;1;1;1;0;0;1;1;0;1;1;1;0
nyasatimes_92.txt;25/03/2019;2019;1;1;1;1;0;1;1;1;0;1;1;1;0
nyasatimes_93.txt;20/03/2019;2019;1;1;1;1;0;0;1;1;0;0;1;1;0
nyasatimes_95.txt;09/03/2019;2019;0;1;1;1;0;0;1;0;0;0;1;0;0
nyasatimes_97.txt;24/04/2019;2019;-1;1;1;1;0;1;0;1;0;1;1;1;0
nyasatimes_98.txt;10/03/2019;2019;-1;1;1;1;1;1;0;1;1;1;1;1;1
nyasatimes_99.txt;24/03/2019;2019;1;1;1;1;0;0;1;0;0;0;1;0;0
times.mw_102.txt;23/01/2019;2019;0;1;1;1;0;0;1;0;0;0;1;0;0
times.mw_115.txt;28/03/2019;2019;0;0;1;1;0;0;1;0;0;0;1;0;0
times.mw_28.txt;13/03/2019;2019;-1;1;1;1;1;0;1;0;0;0;1;0;0
times.mw_30.txt;20/03/2019;2019;0;1;1;1;0;0;0;0;0;1;1;0;0
times.mw_67.txt;14/01/2019;2019;0;0;1;1;0;1;1;0;0;0;1;0;0
times.mw_76.txt;18/03/2019;2019;-1;1;1;1;1;0;1;0;0;0;1;0;0
times.mw_96.txt;29/03/2019;2019;-1;1;1;1;1;1;1;1;0;1;1;1;0
;;;;;;;;;;;;83;116;32;16
;;;;;;;;;;;;;;;
