doc_id,entity,label
nyasatimes_2,New Life Anointed Ministry,ORG
nyasatimes_2,French Ministries International,ORG
nyasatimes_2,K700,PRODUCT
nyasatimes_2,000.Kapito,ORG
nyasatimes_2,Kapito,PERSON
nyasatimes_2,Kapito,ORG
nyasatimes_2,cholera,ORG
nyasatimes_2,Saulos Chilima,PERSON
nyasatimes_2,the Department of Disaster Management Affairs,ORG
nyasatimes_2,a few days,DATE
nyasatimes_2,more than 400,CARDINAL
nyasatimes_2,Chilima,GPE
nyasatimes_2,Disaster Affairs,ORG
nyasatimes_2,Davie Chibani,PERSON
nyasatimes_2,Kapito,ORG
nyasatimes_2,daily,DATE
nyasatimes_2,Chibani,PERSON
nyasatimes_2,nine,CARDINAL
nyasatimes_2,Traditional Authority Kaduya,FAC
nyasatimes_2,Namphende River,LOC
nyasatimes_2,over 290,CARDINAL
nyasatimes_2,68,CARDINAL
nyasatimes_3,Malawi VP,ORG
nyasatimes_3,Nkhotakota,ORG
nyasatimes_3,6500,CARDINAL
nyasatimes_3,Tuesday,DATE
nyasatimes_3,Nkhotakota,ORG
nyasatimes_3,6500,CARDINAL
nyasatimes_3,Chilima,ORG
nyasatimes_3,Mkaika Primary School,ORG
nyasatimes_3,Chia Junior Primary School,ORG
nyasatimes_3,the year,DATE
nyasatimes_3,Malawi Vulnerability Assessment Committee,ORG
nyasatimes_3,MVAC,ORG
nyasatimes_3,Peter Mutharika,PERSON
nyasatimes_3,Nkhotakota,ORG
nyasatimes_3,DC) Felix Mkandawire,ORG
nyasatimes_3,1266,DATE
nyasatimes_3,the Department of Disaster Management Affairs,ORG
nyasatimes_3,Area Civil Protection Committees,ORG
nyasatimes_3,Village Civil Protection Committees,ORG
nyasatimes_3,Nkhotakota District Hospital,FAC
nyasatimes_3,April 9 to 13, 2018,DATE
nyasatimes_3,Mkaika,ORG
nyasatimes_3,Dwambazi Primary,PERSON
nyasatimes_7,Malawi,PERSON
nyasatimes_7,Escom,ORG
nyasatimes_7,Mzuzu,GPE
nyasatimes_7,Dr Saulos Chilima,PERSON
nyasatimes_7,Thursday,DATE
nyasatimes_7,Kaning’ina,GPE
nyasatimes_7,Katawa,GPE
nyasatimes_7,Zolozolo,GPE
nyasatimes_7,Electricity Supply Corporation,ORG
nyasatimes_7,Malawi (Escom,ORG
nyasatimes_7,Chilima,GPE
nyasatimes_7,Thursday,DATE
nyasatimes_7,Kaning’ina,GPE
nyasatimes_7,Escom,ORG
nyasatimes_7,Chilima,ORG
nyasatimes_7,Chilima,GPE
nyasatimes_7,Chilima,PERSON
nyasatimes_7,Veep,ORG
nyasatimes_7,Mzuzu City,GPE
nyasatimes_7,Parliament,ORG
nyasatimes_7,Leonard Njikho,PERSON
nyasatimes_7,Lands,GPE
nyasatimes_7,Malawi Housing,ORG
nyasatimes_7,Njikho,ORG
nyasatimes_7,three,CARDINAL
nyasatimes_7,City Council,ORG
nyasatimes_7,Lands Department,ORG
nyasatimes_7,Malawi Housing Corporation,ORG
nyasatimes_7,“For,CARDINAL
nyasatimes_7,Lands Department,ORG
nyasatimes_7,200,CARDINAL
nyasatimes_7,10,CARDINAL
nyasatimes_7,400,CARDINAL
nyasatimes_7,200,CARDINAL
nyasatimes_7,800,CARDINAL
nyasatimes_7,Zolozolo,GPE
nyasatimes_7,Chiputula,GPE
nyasatimes_7,Chibanja,GPE
nyasatimes_7,Chimaliro,GPE
